season_id,round,date,start_time,home_team,away_team,score,attendance,referee,venue,match_report,home_score,away_score,match_id
73_2025,Regular Season,2025-09-13,19:00,Monterey Bay,Hartford Athletic,'0-4,"3,132",Katja Koroleva,Cardinale Stadium,https://fbref.com/en/matches/a1dc057f/Monterey-Bay-Hartford-Athletic-September-13-2025-USL-Championship,0,4,a1dc057f
73_2025,Regular Season,2025-09-13,19:30,LV Lights FC,Miami FC,'0-0,"3,576",Abdou Ndiaye,Cashman Field,https://fbref.com/en/matches/44888faa/Las-Vegas-Lights-FC-Miami-FC-September-13-2025-USL-Championship,0,0,44888faa
73_2025,Regular Season,2025-09-17,11:30,B'ham Legion,TB Rowdies,'1-4,"5,113",Muhammad Kaleia,Protective Stadium,https://fbref.com/en/matches/ab75ff99/Birmingham-Legion-Tampa-Bay-Rowdies-September-17-2025-USL-Championship,1,4,ab75ff99
73_2025,Regular Season,2025-09-19,19:00,Miami FC,Rhode Island FC,'0-1,768,Cristian Campo Hernández,South Dade Kia Field at Pitbull Stadium,https://fbref.com/en/matches/5caa4a73/Miami-FC-Rhode-Island-FC-September-19-2025-USL-Championship,0,1,5caa4a73
73_2025,Regular Season,2025-09-20,19:00,Hartford Athletic,Pittsburgh,'1-2,"5,250",Greg Dopka,Trinity Health Stadium,https://fbref.com/en/matches/16e9e9ea/Hartford-Athletic-Pittsburgh-Riverhounds-September-20-2025-USL-Championship,1,2,16e9e9ea
73_2025,Regular Season,2025-09-20,19:00,Detroit City,Lexington SC,'0-1,"6,123",Muhammad Hassan,Keyworth Stadium,https://fbref.com/en/matches/85a1411f/Detroit-City-Lexington-SC-September-20-2025-USL-Championship,0,1,85a1411f
73_2025,Regular Season,2025-09-20,19:30,TB Rowdies,North Carolina,'2-2,"5,160",Corbyn May,Al Lang Stadium,https://fbref.com/en/matches/2fc78f04/Tampa-Bay-Rowdies-North-Carolina-FC-September-20-2025-USL-Championship,2,2,2fc78f04
73_2025,Regular Season,2025-09-20,19:30,Louisville City,LV Lights FC,'3-1,"10,825",Natalie Simon,Lynn Family Stadium,https://fbref.com/en/matches/c537d8b9/Louisville-City-Las-Vegas-Lights-FC-September-20-2025-USL-Championship,3,1,c537d8b9
73_2025,Regular Season,2025-09-21,17:00,Indy Eleven,B'ham Legion,'2-1,"10,375",Alyssa Pennington,Michael A. Carroll Stadium,https://fbref.com/en/matches/16e10b2e/Indy-Eleven-Birmingham-Legion-September-21-2025-USL-Championship,2,1,16e10b2e
73_2025,Regular Season,2025-09-20,18:00,CS Switchbacks,Sac Republic,'0-2,"6,843",Jeremy Scheer,Weidner Field,https://fbref.com/en/matches/d471d2f3/Colorado-Springs-Switchbacks-Sacramento-Republic-September-20-2025-USL-Championship,0,2,d471d2f3
73_2025,Regular Season,2025-09-20,19:00,Phx Rising,Loudoun United,'2-2,"4,715",Rodrigo Albuquerque,Phoenix Rising Soccer Stadium,https://fbref.com/en/matches/ad0ec18f/Phoenix-Rising-Loudoun-United-September-20-2025-USL-Championship,2,2,ad0ec18f
73_2025,Regular Season,2025-09-20,19:00,Monterey Bay,New Mexico Utd,'1-1,"3,299",Mathew Corrigan,Cardinale Stadium,https://fbref.com/en/matches/66f556d1/Monterey-Bay-New-Mexico-United-September-20-2025-USL-Championship,1,1,66f556d1
73_2025,Regular Season,2025-09-20,19:00,Roots,FC Tulsa,'1-1,"4,938",Elton Garcia,Oakland-Alameda County Coliseum,https://fbref.com/en/matches/9f50601b/Oakland-Roots-FC-Tulsa-September-20-2025-USL-Championship,1,1,9f50601b
