season_id,round,date,start_time,home_team,away_team,score,attendance,referee,venue,match_report,notes,home_score,away_score,match_id
73_2018,Regular Season,2018-09-05,19:00,Sounders 2,Tulsa,'4-4,"2,465",Mark Allatin,Cheney Stadium,https://fbref.com/en/matches/a3661d39/Seattle-Sounders-FC-2-Tulsa-Roughnecks-FC-September-5-2018-USL,,4,4,a3661d39
73_2018,Regular Season,2018-09-05,19:30,Phx Rising,RGV Toros,'1-0,"5,307",Jon Freemon,Phoenix Rising Soccer Complex,https://fbref.com/en/matches/298ac9ae/Phoenix-Rising-RGV-FC-Toros-September-5-2018-USL,,1,0,298ac9ae
73_2018,Regular Season,2018-09-07,19:00,Pittsburgh,Bethlehem,'4-1,"1,356",Daniel Gutierrez,Highmark Stadium,https://fbref.com/en/matches/5f9d97b4/Pittsburgh-Riverhounds-Bethlehem-Steel-FC-September-7-2018-USL,,4,1,5f9d97b4
73_2018,Regular Season,2018-09-06,20:00,Toronto FC II,Ottawa Fury,'3-4,207,David Barrie,BMO Field,https://fbref.com/en/matches/2609891e/Toronto-FC-II-Ottawa-Fury-September-6-2018-USL,,3,4,2609891e
73_2018,Regular Season,2018-09-08,17:00,North Carolina,Nashville,'3-3,"9,505",Guido Gonzalez Jr.,WakeMed Soccer Park,https://fbref.com/en/matches/0be02c39/North-Carolina-FC-Nashville-SC-September-8-2018-USL,,3,3,0be02c39
73_2018,Regular Season,2018-09-08,19:00,Charleston,TB Rowdies,'1-0,"2,949",Rubiel Vazquez,MUSC Health Stadium,https://fbref.com/en/matches/fcc19074/Charleston-Battery-Tampa-Bay-Rowdies-September-8-2018-USL,,1,0,fcc19074
73_2018,Regular Season,2018-09-08,19:00,Charlotte Ind'ence,Richmond,'2-1,"1,175",Greg Dopka,Sportsplex at Matthews,https://fbref.com/en/matches/c6bffe20/Charlotte-Independence-Richmond-Kickers-September-8-2018-USL,,2,1,c6bffe20
73_2018,Regular Season,2018-09-08,19:00,Penn FC,Atlanta United 2,'1-2,"3,105",Lukasz Szpala,FNB FIELD,https://fbref.com/en/matches/95c3f517/Penn-FC-Atlanta-United-2-September-8-2018-USL,,1,2,95c3f517
73_2018,Regular Season,2018-09-09,14:00,Timbers 2,Tulsa,'4-0,"3,445",Alejandro Mariscal,Providence Park,https://fbref.com/en/matches/509edc81/Portland-Timbers-2-Tulsa-Roughnecks-FC-September-9-2018-USL,,4,0,509edc81
73_2018,Regular Season,2018-09-09,16:00,Swope Park,Fresno,'1-0,961,Kevin Broadley,Children's Mercy Park,https://fbref.com/en/matches/38a897e3/Swope-Park-Rangers-Fresno-FC-September-9-2018-USL,,1,0,38a897e3
73_2018,Regular Season,2018-09-08,19:00,Orange County,OKC Energy,'3-2,"3,468",Daniel Radford,Orange Country Great Park Soccer Field,https://fbref.com/en/matches/7d636bd3/Orange-County-SC-OKC-Energy-September-8-2018-USL,,3,2,7d636bd3
73_2018,Regular Season,2018-09-08,19:30,Saint Louis FC,Reno 1868,'1-0,"4,027",Victor Rivas,Toyota Stadium,https://fbref.com/en/matches/fee9a29d/Saint-Louis-FC-Reno-1868-September-8-2018-USL,,1,0,fee9a29d
73_2018,Regular Season,2018-09-08,19:30,San Antonio FC,Phx Rising,'3-2,"6,534",Ramy Touchan,Toyota Field,https://fbref.com/en/matches/b3979767/San-Antonio-FC-Phoenix-Rising-September-8-2018-USL,,3,2,b3979767
73_2018,Regular Season,2018-09-08,19:30,Sac Republic,Sounders 2,'3-0,"11,569",Thomas Snyder,Papa Murphy’s Park,https://fbref.com/en/matches/fb8612fd/Sacramento-Republic-Seattle-Sounders-FC-2-September-8-2018-USL,,3,0,fb8612fd
73_2018,Regular Season,2018-09-08,20:00,LV Lights FC,Galaxy II,'1-2,"8,017",Lorant Varga,Cashman Field,https://fbref.com/en/matches/fdb0f975/Las-Vegas-Lights-FC-LA-Galaxy-II-September-8-2018-USL,,1,2,fdb0f975
73_2018,Regular Season,2018-09-08,20:30,RGV Toros,Monarchs,'2-1,"3,058",Luis Guardia,H-E-B Park,https://fbref.com/en/matches/968bf145/RGV-FC-Toros-Real-Monarchs-September-8-2018-USL,,2,1,968bf145
73_2018,Regular Season,2018-09-11,19:00,Louisville City,FC Cincinnati,'0-1,"10,009",Joshua Brooks,Louisville Slugger Field,https://fbref.com/en/matches/290e6d06/Louisville-City-FC-Cincinnati-September-11-2018-USL,,0,1,290e6d06
73_2018,Regular Season,2018-09-12,18:30,Penn FC,Indy Eleven,'1-0,"1,200",Ismir Pekmic,FNB FIELD,https://fbref.com/en/matches/7778418d/Penn-FC-Indy-Eleven-September-12-2018-USL,,1,0,7778418d
73_2018,Regular Season,2018-09-13,19:00,NY Red Bulls II,Toronto FC II,'3-3,"1,267",Jonathan Bilinski,Red Bull Arena,https://fbref.com/en/matches/687cbca3/New-York-Red-Bulls-II-Toronto-FC-II-September-13-2018-USL,,3,3,687cbca3
73_2018,Regular Season,2018-09-12,19:30,Galaxy II,OKC Energy,'1-3,751,Michael Radchuk,StubHub Center,https://fbref.com/en/matches/97747f8b/LA-Galaxy-II-OKC-Energy-September-12-2018-USL,,1,3,97747f8b
73_2018,Regular Season,2018-09-12,20:00,Monarchs,Saint Louis FC,'1-1,"1,180",Joe Dickerson,Zions Bank Stadium,https://fbref.com/en/matches/e326f27b/Real-Monarchs-Saint-Louis-FC-September-12-2018-USL,,1,1,e326f27b
73_2018,Regular Season,2018-09-15,16:00,Swope Park,Saint Louis FC,'3-4,"1,013",Rosendo Mendoza,Children's Mercy Park,https://fbref.com/en/matches/21f8d8fa/Swope-Park-Rangers-Saint-Louis-FC-September-15-2018-USL,,3,4,21f8d8fa
73_2018,Regular Season,2018-09-15,19:00,Pittsburgh,Louisville City,'2-2,"2,558",Farhad Dadkho,Highmark Stadium,https://fbref.com/en/matches/0b1b00c4/Pittsburgh-Riverhounds-Louisville-City-September-15-2018-USL,,2,2,0b1b00c4
73_2018,Regular Season,2018-09-15,19:00,Richmond,Ottawa Fury,'0-2,"2,369",Thomas Snyder,City Stadium,https://fbref.com/en/matches/ab945d8f/Richmond-Kickers-Ottawa-Fury-September-15-2018-USL,,0,2,ab945d8f
73_2018,Regular Season,2018-09-15,19:30,TB Rowdies,Atlanta United 2,'1-0,"6,045",Daniel Gutierrez,Al Lang Stadium,https://fbref.com/en/matches/f222a36c/Tampa-Bay-Rowdies-Atlanta-United-2-September-15-2018-USL,,1,0,f222a36c
73_2018,Regular Season,2018-09-16,16:30,FC Cincinnati,Toronto FC II,'4-3,"27,275",Lorant Varga,Nippert Stadium,https://fbref.com/en/matches/0665fe89/FC-Cincinnati-Toronto-FC-II-September-16-2018-USL,,4,3,0665fe89
73_2018,Regular Season,2018-09-15,18:00,CS Switchbacks,RGV Toros,'1-1,"4,064",Adam Zarrin,Weidner Field,https://fbref.com/en/matches/0ecdcec0/Colorado-Springs-Switchbacks-RGV-FC-Toros-September-15-2018-USL,,1,1,0ecdcec0
73_2018,Regular Season,2018-09-16,18:00,Penn FC,North Carolina,'0-1,"2,205",Elvis Osmanovic,FNB FIELD,https://fbref.com/en/matches/dee624bc/Penn-FC-North-Carolina-FC-September-16-2018-USL,,0,1,dee624bc
73_2018,Regular Season,2018-09-15,19:00,Tulsa,San Antonio FC,'2-1,"2,877",Eric Tattersall,ONEOK Field,https://fbref.com/en/matches/2206cd64/Tulsa-Roughnecks-FC-San-Antonio-FC-September-15-2018-USL,,2,1,2206cd64
73_2018,Regular Season,2018-09-15,19:00,Reno 1868,Galaxy II,'1-0,"5,060",Luis Guardia,Aces Ballpark,https://fbref.com/en/matches/08443098/Reno-1868-LA-Galaxy-II-September-15-2018-USL,,1,0,08443098
